filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
FALSE,,FALSE,GNSSnssr19,,,NNH19ZDA001N-GNSS,Global Navigation Satellite System Research,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,GLORYst09,,,NNH09ZDA001N-GLORY,Glory Science Team,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,GRACEgracefost15,,,NNH15ZDA001N-GRACE,GRACE and GRACE-FO Science Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,GRACEFOfost19,,,NNH19ZDA001N-GRACEFO,GRACE-FO Science Team,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,HAQST15,,,NNH15ZDA001N-HAQST,Health and Air Quality Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,HSRPfe09,,,NNH09ZDA001N-HSRP,Hurricane Field Experiment,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,HYSPIRIiripauei09,,,NNH09ZDA001N-HYSPIRI,HyspIRI Preparatory Activities Using Existing Imagery,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,HYSPIRIiripauei10,,,NNH10ZDA001N-HYSPIRI,HyspIRI Preparatory Activities Using Existing Imagery,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,HYSPIRIiripaaas11,,,NNH11ZDA001N-HYSPIRI,HyspIRI Preparatory Airborne Activities and Associated Science,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,HYSPiripaaascrvr14,,,NNH14ZDA001N-HYSP,HyspIRI Preparatory Airborne Activities and Associated Science: Coral Reef and Volcano Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICEBRbr14,,,NNH14ZDA001N-ICEBR,IceBridge Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICEBSTbst16,,,NNH16ZDA001N-ICEBST,IceBridge Science Team,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,ICEB2010bsa09,,,NNH09ZDA001N-ICEB2010,IceBridge: Support for 2010 Activities,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,ICESAT2satsdt11,,,NNH11ZDA001N-ICESAT2,IceSAT 2 Science Definition Team,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,ICESAT2sdt14,,,NNH14ZDA001N-ICESAT2,ICESat2 Science Definition Team,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICESAT IIiisdt08,,,NNH08ZDA001N-ICESAT II,ICESat-II Science Definition Team,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,ICVCcvcnasacf11,,,NNH11ZDA001N-ICVC,Impacts of Climate Variability and Change on NASA Centers and Facilities,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,INVESTvest17,,,NNH17ZDA001N-INVEST,In-space Validation of Earth Science Technologies,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,IIPi10,,,NNH10ZDA001N-IIP,Instrument Incubator,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,IIPip13,,,NNH13ZDA001N-IIP,Instrument Incubator Program,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,IIPip16,,,NNH16ZDA001N-IIP,Instrument Incubator Program,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,IDSres12,,,NNH12ZDA001N-IDS,Interdisciplinary Research in Earth Science,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,IDSres19,,,NNH19ZDA001N-IDS,Interdisciplinary Research in Earth Science,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,IDSs16,,,NNH16ZDA001N-IDS,Interdisciplinary Science,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,IPYEPOpyipyepo06,,,NNH06ZDA001N-IPYEPO,International Polar Year (IPY) Education and Public Outreach,NRA,NASA:HQ:SMD:ES,2006,,,,,,,,
FALSE,,FALSE,LCLUCcluc10,,,NNH10ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,LCLUCcluc12,,,NNH12ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,LCLUCcluc16,,,NNH16ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,LCLUCcluc07,,,NNH07ZDA001N-LCLUC,Land-Cover/Land-Use Change,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,LCLUCcluc17,,,NNH17ZDA001N-LCLUC,Land-Cover/Land-Use Change,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
