Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),80NSSC18K1082 P00004,BAY AREA ENVIRONMENTAL RESEARCH INSTITUT,HQ,IMPACT-GENERATED MILLER-UREY ATMOSPHERES AND THE EMERGENCE OF LIFE ON EARTH,EXOBIOLOGY,Roxana Lupu,Lindsay Hays,7/6/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
4200771149,80NSSC18K1083 P00004,University of Arizona,HQ,The Impact of Massive Satellites on the Dark Matter Halos of the Milky Way and M31,Astrophysics Theory,GURTINA BESLA,Evan Scannapieco,7/12/2021,9/1/2018,8/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1083 P00005,(N/A),HQ,The Impact of Massive Satellites on the Dark Matter Halos of the Milky Way and M31,Astrophysics Theory,GURTINA BESLA,Evan Scannapieco,7/22/2021,9/1/2018,8/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1084 P00004,MICHIGAN STATE UNIVERSITY,HQ,MODELING THE EVOLUTIONARY EMERGENCE OF DIVERSE MICROBIAL METABOLISMS,EXOBIOLOGY,Elena Litchman,Lindsay Hays,6/2/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1085 P00004,UNIVERSITY OF CALIFORNIA - RIVERSIDE,HQ,EXCEPTIONAL PRESERVATION OF EDIACARAN ORGANIC BIOSIGNATURES YIELDS NOVEL INSIGHTS INTO THE MARINE ENVIRONMENTS AND ECOLOGY THAT HOSTED EARLY MULTICELLULAR ORGANISMS,EXOBIOLOGY,GORDON LOVE,Lindsay Hays,4/20/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1086 P00007,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,HQ,After the Boring Billion and Before the Snowball Earth: Evolutionary Patterns and Innovations in the Tonian Period,EXOBIOLOGY,SHUHAI XIAO,Lindsay Hays,5/25/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
4200763822,80NSSC18K1090 P00005,CORNELL UNIVERSITY,HQ,POL II PAUSING AS A MILESTONE ON THE ROAD TO COMPLEX ANIMALS,EXOBIOLOGY,CHARLES DANKO,Lindsay Hays,4/26/2021,6/11/2018,6/10/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1090 P00006,CORNELL UNIVERSITY,HQ,POL II PAUSING AS A MILESTONE ON THE ROAD TO COMPLEX ANIMALS,EXOBIOLOGY,CHARLES DANKO,Lindsay Hays,7/15/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1091 P00005,Massachusetts Institute of Technology,HQ,Modeling extreme mass ratio inspirals: How accurate must the models be?,Astrophysics Theory,SCOTT HUGHES,Evan Scannapieco,5/25/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1093 P00005,Columbia University in the City of New York,HQ,Realizing the full potential of weak lensing cosmology,Astrophysics Theory,Zoltan Haiman,Evan Scannapieco,6/3/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1094 P00004,SETI INSTITUTE,HQ,"INVESTIGATING TAPHONOMIC PROCESSES UNDER COLD AND DRY CONDITIONS USING SEDIMENT SAMPLES FROM UNTERSEE OASIS, ANTARCTICA",EXOBIOLOGY,Dale Andersen,Lindsay Hays,6/17/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1095 P00004,(N/A),HQ,Probing Disk Magnetic Fields and Grain Growth Through (Sub)millimeter Polarization,Astrophysics Theory,ZHI-YUN LI,Evan Scannapieco,8/18/2021,9/1/2018,8/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1096 P00005,Northwestern University,HQ,"The Physics, Observational Signatures, and Consequences of AGN-Driven Galactic Winds",Astrophysics Theory,CLAUDE-ANDRE FAUCHER-GIGUERE,Evan Scannapieco,6/2/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1099 P00006,(N/A),HQ,Kinetic modeling of pulsar magnetospheres and winds,Astrophysics Theory,Anatoly Spitkovsky,Evan Scannapieco,8/3/2021,7/1/2018,7/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1103 P00005,Pennsylvania State University,HQ,"Exploiting galaxy clustering data from the deep, wide-angle surveys",Astrophysics Theory,Donghui  Jeong,Evan Scannapieco,5/14/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1104 P00005,(N/A),HQ,Birth and Infancy of a Fast Radio Burst,Astrophysics Theory,LORENZO SIRONI,Evan Scannapieco,8/18/2021,9/1/2018,8/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1105 P00007,SPACE TELESCOPE SCIENCE INSTITUTE/AURA,HQ,Figuring Out Gas & Galaxies in Enzo (FOGGIE): The Gas-Galaxy Connection at z>2,Astrophysics Theory,Molly Peeples,Evan Scannapieco,6/23/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
